gene_id,condition
X1068x1q2,acute
X1068x9q2,convalescent
X1076x3q2,acute
X1076x9q2,convalescent
X1086x2q2,acute
X1086x9q1,convalescent
X1106x1q2,acute
X1106x9q1,convalescent
X1110x1q2,acute
X1110x9q1,convalescent
X1114x1q2,acute
X1114x9q1,convalescent
X1117x2q2,acute
X1117x9q1,convalescent
X1122x3q2,acute
X1122x9q1,convalescent
X1126x1q2,acute
X1126x9q1,convalescent
X1130x2q2,acute
X1130x9q1,convalescent
X1132x1q2,acute
X1132x9q1,convalescent
X1134x1q2,acute
X1134x9q2,convalescent
X1136x1q2,acute
X1136x9q1,convalescent
X1142x1q2,acute
X1142x9q1,convalescent
X1148x2q2,acute
X1148x9q1,convalescent
X1150x2q2,acute
X1150x9q1,convalescent
X1153x1q2,acute
X1153x9q1,convalescent
X1162x1q2,acute
X1162x9q1,convalescent
X1165x1q2,acute
X1165x9q1,convalescent
X1169x2q2,acute
X1169x9q1,convalescent
X1170x1q2,acute
X1170x9q1,convalescent
X1172x1q2,acute
X1172x9q1,convalescent
X1181x1q2,acute
X1181x9q1,convalescent
X1190x1q2,acute
X1190x9q1,convalescent
X1194x2q2,acute
X1194x9q1,convalescent
X1213x1q2,acute
X1213x9q1,convalescent
X1214x1q2,acute
X1214x9q1,convalescent
X1221x1q2,acute
X1221x9q1,convalescent
X1231x2q1,acute
X1231x9q1,convalescent
X1240x1q1,acute
X1240x9q1,convalescent
X1247x1q2,acute
X1247x9q1,convalescent
X1250x1q1,acute
X1250x9q1,convalescent
X1269x1q1,acute
X1269x9q2,convalescent
X1293x1q1,acute
X1293x9q1,convalescent
X1298x1q1,acute
X1298x9q1,convalescent
X1302x1q1,acute
X1302x9q1,convalescent
X1303x1q1,acute
X1303x9q1,convalescent
X1304x1q1,acute
X1304x9q1,convalescent
X1306x1q1,acute
X1306x9q1,convalescent
X1308x1q2,acute
X1308x9q2,convalescent
X1309x1q1,acute
X1309x9q1,convalescent
X1310x1q1,acute
X1310x9q1,convalescent
X1312x1q1,acute
X1312x9q1,convalescent
X1321x1q1,acute
X1321x9q1,convalescent
X1322x1q1,acute
X1322x9q1,convalescent
X1323x1q1,acute
X1323x9q1,convalescent
X1325x1q1,acute
X1325x9q1,convalescent
X1327x1q1,acute
X1327x9q1,convalescent
X1329x1q1,acute
X1329x9q1,convalescent
X1332x1q1,acute
X1332x9q1,convalescent
X1335x1q1,acute
X1335x9q1,convalescent
X1336x1q1,acute
X1336x9q1,convalescent
X1342x1q1,acute
X1342x9q1,convalescent
X1351x1q1,acute
X1351x9q1,convalescent
X1354x1q1,acute
X1354x9q1,convalescent
X1363x1q1,acute
X1363x9q1,convalescent
X1367x1q1,acute
X1367x9q1,convalescent
X1372x1q2,acute
X1372x9q1,convalescent
X1385x1q1,acute
X1385x9q1,convalescent
X1551x1q1,acute
X1551x9q1,convalescent
X1554x1q1,acute
X1554x9q1,convalescent
X1894x1q1,acute
X1894x9q1,convalescent
X1911x1q1,acute
X1911x9q1,convalescent
X1932x1q1,acute
X1932x9q1,convalescent
X1942x1q1,acute
X1942x9q1,convalescent
X1969x1q1,acute
X1969x9q1,convalescent
X1987x1q1,acute
X1987x9q1,convalescent
X1991x1q1,acute
X1991x9q1,convalescent
